"Departamento","Provincia","Distrito","conSeguro_Total","analfa_Total","indep_Total","poblacion_Total"
"Amazonas","Bagua","Aramango",5057,13.81,54.61,11442
"Amazonas","Bagua","Copallin",2593,13.46,35.05,6126
"Amazonas","Bagua","El Parco",524,12.17,20.91,1274
"Amazonas","Bagua","Imaza",11294,17.29,47.94,21409
"Amazonas","Bagua","La Peca",14310,7.62,36.51,31506
"Amazonas","Bongará","Chisquilla",206,3.29,42.95,346
"Amazonas","Bongará","Churuja",155,8.47,47.62,272
"Amazonas","Bongará","Corosha",325,13.51,59.11,712
"Amazonas","Bongará","Cuispes",238,9.37,51.08,782
"Amazonas","Bongará","Florida",1286,11.12,59.85,6199
"Amazonas","Bongará","Jazán",3079,5.57,46.29,8332
"Amazonas","Bongará","Jumbilla",888,5.38,45.06,1569
"Amazonas","Bongará","Recta",153,4.68,39.06,231
"Amazonas","Bongará","San Carlos",119,10.57,61.15,367
"Amazonas","Bongará","Shipasbamba",514,10.24,45.32,1350
"Amazonas","Bongará","Valera",419,9.43,55.06,1262
"Amazonas","Bongará","Yambrasbamba",1724,11.81,56.49,6043
"Amazonas","Chachapoyas","Asunción",189,13.11,47.59,289
"Amazonas","Chachapoyas","Balsas",751,13.47,55.82,1401
"Amazonas","Chachapoyas","Chachapoyas",12170,4.38,26.71,23939
"Amazonas","Chachapoyas","Cheto",268,7.16,49.58,582
"Amazonas","Chachapoyas","Chiliquín",456,13.46,58.2,851
"Amazonas","Chachapoyas","Chuquibamba",1168,7.4,55.34,2074
"Amazonas","Chachapoyas","Granada",139,14.71,47.75,426
"Amazonas","Chachapoyas","Huancas",176,10.2,50.39,809
"Amazonas","Chachapoyas","La Jalca",2376,13.36,58.21,5344
"Amazonas","Chachapoyas","Leimebamba",1816,11.26,43.86,3918
"Amazonas","Chachapoyas","Levanto",511,15.58,63.22,945
"Amazonas","Chachapoyas","Magdalena",399,9.93,34.08,880
"Amazonas","Chachapoyas","Mariscal Castilla",469,10.37,59.01,1132
"Amazonas","Chachapoyas","Molinopampa",1215,11.48,57.68,2501
"Amazonas","Chachapoyas","Montevideo",286,6.2,43.85,691
"Amazonas","Chachapoyas","Olleros",239,16.21,60.8,355
"Amazonas","Chachapoyas","Quinjalca",327,15.51,57.91,934
"Amazonas","Chachapoyas","San Francisco de Daguas",124,9.17,50.42,302
"Amazonas","Chachapoyas","San Isidro de Maino",237,9.3,56.43,686
"Amazonas","Chachapoyas","Soloco",606,11.68,60.63,1413
"Amazonas","Chachapoyas","Sonche",140,15.65,53.06,228
"Amazonas","Condorcanqui","El Cenepa",4616,21.9,57.78,8513
"Amazonas","Condorcanqui","Nieva",11047,17.55,54.9,22192
"Amazonas","Condorcanqui","Río Santiago",7281,19.6,48.58,12606
"Amazonas","Luya","Camporredondo",1868,14.24,31.49,6076
"Amazonas","Luya","Cocabamba",929,15.65,45.78,2240
